,POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
0,1,      Shubman Gill GT        ,890,17,17,2,129,59.33,564,157.8,3,4,85,33,2023
1,2,           Faf Du Plessis RCB   ,730,14,14,1,84,56.15,475,153.68,0,8,60,36,2023
2,3,           Devon Conway CSK   ,672,16,15,2,92*,51.69,481,139.7,0,6,77,18,2023
3,4,           Virat Kohli RCB   ,639,14,14,2,101*,53.25,457,139.82,2,6,65,16,2023
4,5,           Yashasvi Jaiswal RR   ,625,14,14,1,124,48.08,382,163.61,1,5,82,26,2023
5,6,           Suryakumar Yadav MI   ,605,16,16,2,103*,43.21,334,181.13,1,5,65,28,2023
6,7,           Ruturaj Gaikwad CSK   ,590,16,15,1,92,42.14,400,147.5,0,4,46,30,2023
7,8,           David Warner DC   ,516,14,14,0,86,36.86,392,131.63,0,6,69,10,2023
8,9,           Rinku Singh KKR   ,474,14,14,6,67*,59.25,317,149.52,0,4,31,29,2023
9,10,           Ishan Kishan MI   ,454,15,15,0,75,30.27,318,142.76,0,3,54,18,2023
10,11,           Cameron Green MI   ,452,16,16,7,100*,50.22,282,160.28,1,2,40,22,2023
11,12,           Heinrich Klaasen SRH   ,448,12,11,2,104,49.78,253,177.07,1,2,32,25,2023
12,13,           Shivam Dube CSK   ,418,16,14,3,52,38,264,158.33,0,3,12,35,2023
13,14,           Nitish Rana KKR   ,413,14,14,1,75,31.77,293,140.95,0,3,39,20,2023
14,15,           Marcus Stoinis LSG   ,408,15,15,2,89*,31.38,272,150,0,3,28,27,2023
15,16,           Venkatesh Iyer KKR   ,404,14,14,0,104,28.86,277,145.84,1,2,32,21,2023
16,17,           Glenn Maxwell RCB   ,400,14,14,2,77,33.33,218,183.48,0,5,29,31,2023
17,18,           Jos Buttler RR   ,392,14,14,0,95,28,282,139,0,4,42,14,2023
18,19,           Kyle Mayers LSG   ,379,13,13,0,73,29.15,263,144.1,0,4,38,22,2023
19,20,           Shikhar Dhawan PBKS   ,373,11,11,2,99*,41.44,261,142.91,0,3,49,12,2023
20,21,           Wriddhiman Saha GT   ,371,17,17,1,81,23.19,287,129.26,0,2,47,8,2023
21,22,           Sanju Samson RR   ,362,14,14,2,66*,30.17,236,153.38,0,3,25,24,2023
22,23,           Sai Sudharsan GT   ,362,8,8,1,96,51.71,256,141.4,0,3,33,12,2023
23,24,           Nicholas Pooran LSG   ,358,15,15,3,62,29.83,207,172.94,0,2,26,26,2023
24,25,           Simran Singh PBKS   ,358,14,14,0,103,25.57,238,150.42,1,1,38,19,2023
25,26,           Hardik Pandya GT   ,346,16,15,4,66,31.45,253,136.75,0,2,26,15,2023
26,27,           Tilak Varma MI   ,343,11,11,3,84*,42.88,209,164.11,0,1,26,23,2023
27,28,           Rohit Sharma MI   ,332,16,16,0,65,20.75,250,132.8,0,2,35,17,2023
28,29,           Ajinkya Rahane CSK   ,326,14,11,1,71*,32.6,189,172.48,0,2,24,16,2023
29,30,           Jitesh Sharma PBKS   ,309,14,14,1,49*,23.77,198,156.06,0,0,22,21,2023
30,31,           Vijay Shankar GT   ,301,14,10,2,63*,37.63,188,160.1,0,3,27,15,2023
31,32,           Shimron Hetmyer RR   ,300,14,13,5,56*,37.5,197,152.28,0,1,12,23,2023
32,33,           Jason Roy KKR   ,285,8,8,0,61,35.63,188,151.59,0,2,36,12,2023
33,34,           Axar Patel DC   ,283,14,13,3,54,28.3,203,139.4,0,1,21,15,2023
34,35,           Liam Livingstone PBKS   ,279,9,9,1,94,34.88,171,163.15,0,2,20,19,2023
35,36,           Sam Curran PBKS   ,276,14,13,3,55,27.6,203,135.96,0,1,20,13,2023
36,37,           K L Rahul LSG   ,274,9,9,1,74,34.25,242,113.22,0,2,28,4,2023
37,38,           Rahul Tripathi SRH   ,273,13,13,1,74*,22.75,213,128.16,0,1,29,10,2023
38,39,           Mayank Agarwal SRH   ,270,10,10,0,83,27,210,128.57,0,1,29,6,2023
39,40,           Devdutt Padikkal RR   ,261,11,11,1,52,26.1,200,130.5,0,2,31,6,2023
40,41,           David Miller GT   ,259,16,13,5,46,32.38,178,145.5,0,0,18,13,2023
41,42,           Aiden Markram SRH   ,248,13,13,2,50,22.55,197,125.88,0,1,18,8,2023
42,43,           Nehal Wadera MI   ,241,14,10,1,64,26.78,166,145.18,0,2,23,12,2023
43,44,           Ayush Badoni LSG   ,238,15,12,2,59*,23.8,172,138.37,0,1,13,12,2023
44,45,           Tim David MI   ,231,16,15,6,45*,25.67,146,158.21,0,0,12,15,2023
45,46,           Andre Russell KKR   ,227,14,14,3,42,20.64,156,145.51,0,0,13,18,2023
46,47,           Rahmanullah Gurbaz KKR   ,227,11,11,0,81,20.64,170,133.52,0,2,17,15,2023
47,48,           Abhishek Sharma SRH   ,226,11,11,0,67,20.55,157,143.94,0,2,28,6,2023
48,49,           Phil Salt DC   ,218,9,9,1,87,27.25,133,163.9,0,2,24,10,2023
49,50,           Rilee Rossouw DC   ,209,9,9,2,82*,29.86,141,148.22,0,1,17,11,2023
50,51,           Ravindra Jadeja CSK   ,190,16,12,4,25*,23.75,133,142.85,0,0,11,9,2023
51,52,           Harry Brook SRH   ,190,11,11,2,100*,21.11,154,123.37,1,0,23,4,2023
52,53,           Krunal Pandya LSG   ,188,15,14,4,49*,18.8,165,113.93,0,0,15,6,2023
53,54,           Atharva Taide PBKS   ,186,7,7,0,66,26.57,129,144.18,0,2,20,6,2023
54,55,           Abdul Samad SRH   ,169,9,8,4,37*,42.25,128,132.03,0,0,10,11,2023
55,56,           Manish Pandey DC   ,160,10,9,0,50,17.78,146,109.58,0,1,15,3,2023
56,57,           Ambati Rayudu CSK   ,158,16,12,2,27*,15.8,113,139.82,0,0,10,9,2023
57,58,           Shahrukh Khan PBKS   ,156,14,13,6,41*,22.29,94,165.95,0,0,13,9,2023
58,59,           Dhruv Jurel RR   ,152,13,11,4,34*,21.71,88,172.72,0,0,11,9,2023
59,60,           Quinton De Kock LSG   ,143,4,4,0,70,35.75,102,140.19,0,1,10,8,2023
60,61,           Dinesh Karthik RCB   ,140,13,13,1,30,11.67,104,134.61,0,0,13,5,2023
61,62,           Sikandar Raza PBKS   ,139,7,7,2,57,27.8,98,141.83,0,1,10,6,2023
62,63,           Mahipal Lomror RCB   ,135,12,10,2,54*,16.88,97,139.17,0,1,9,8,2023
63,64,           Rashid Khan GT   ,130,17,9,5,79*,32.5,60,216.66,0,1,8,13,2023
64,65,           Mitchell Marsh DC   ,128,9,9,0,63,14.22,97,131.95,0,1,11,7,2023
65,66,           Moeen Ali CSK   ,124,15,10,3,23,17.71,91,136.26,0,0,12,6,2023
66,67,           Matthew Short PBKS   ,117,6,6,0,36,19.5,92,127.17,0,0,15,4,2023
67,68,           Abhinav Manohar GT   ,114,9,6,0,42,19,83,137.34,0,0,6,7,2023
68,69,           Shardul Thakur KKR   ,113,11,10,2,68,14.13,70,161.42,0,1,13,4,2023
69,70,           Aman Khan DC   ,110,11,9,1,51,13.75,101,108.91,0,1,7,6,2023
70,71,           Prithvi Shaw DC   ,106,8,8,0,54,13.25,85,124.7,0,1,16,1,2023
71,72,           Anmolpreet Singh SRH   ,105,4,4,0,36,26.25,82,128.04,0,0,15,2,2023
72,73,           MS Dhoni CSK   ,104,16,12,8,32*,26,57,182.45,0,0,3,10,2023
73,74,           Prerak Mankad LSG   ,93,5,5,2,64*,31,72,129.16,0,1,12,2,2023
74,75,           Anuj Rawat RCB   ,91,9,7,4,29*,30.33,71,128.16,0,0,6,4,2023
75,76,           Jagadeesan Narayan KKR   ,89,6,6,0,36,14.83,81,109.87,0,0,14,1,2023
76,77,           Rahul Tewatia GT   ,87,17,10,6,20*,21.75,57,152.63,0,0,3,7,2023
77,78,           Deepak Hooda LSG   ,84,12,12,1,17,7.64,90,93.33,0,0,3,2,2023
78,79,           Riyan Parag RR   ,78,7,7,1,20,13,66,118.18,0,0,4,5,2023
79,80,           Harpreet Bhatia PBKS   ,76,3,3,0,41,25.33,59,128.81,0,0,8,3,2023
80,81,           Bhanuka Rajapaksa PBKS   ,71,4,4,1,50,23.67,62,114.51,0,1,6,2,2023
81,82,           Vivrant Sharma SRH   ,69,3,1,0,69,69,47,146.8,0,1,9,2,2023
82,83,           Ravichandran Ashwin RR   ,67,13,10,4,30,11.17,51,131.37,0,0,5,3,2023
83,84,           Lalit Yadav DC   ,66,6,6,1,38,13.2,59,111.86,0,0,8,0,2023
84,85,           Krishnappa Gowtham LSG   ,61,7,7,3,23,15.25,37,164.86,0,0,2,5,2023
85,86,           Washington Sundar SRH   ,60,7,5,1,24*,15,60,100,0,0,6,0,2023
86,87,           Michael Bracewell RCB   ,58,5,4,2,26,29,47,123.4,0,0,6,1,2023
87,88,           Sarfaraz Khan DC   ,53,4,4,0,30,13.25,62,85.48,0,0,4,1,2023
88,89,           Harpreet Brar PBKS   ,52,13,8,2,17*,8.67,41,126.82,0,0,5,2,2023
89,90,           Ripal Patel DC   ,49,5,4,1,23,16.33,43,113.95,0,0,3,1,2023
90,91,           Shahbaz Ahmed RCB   ,42,10,6,2,20*,10.5,39,107.69,0,0,3,1,2023
91,92,           Bhuvneshwar Kumar SRH   ,42,14,6,3,27,14,47,89.36,0,0,4,0,2023
92,93,           Glenn Phillips SRH   ,39,5,5,0,25,7.8,22,177.27,0,0,2,4,2023
93,94,           Marco Jansen SRH   ,39,8,6,3,17*,13,43,90.69,0,0,4,0,2023
94,95,           Anrich Nortje DC   ,37,10,7,4,23*,12.33,29,127.58,0,0,6,0,2023
95,96,           Vishnu Vinod MI   ,37,3,3,0,30,12.33,31,119.35,0,0,2,2,2023
96,97,           Suyash S Prabhudessai RCB   ,35,5,4,0,19,8.75,29,120.68,0,0,1,2,2023
97,98,           David Willey RCB   ,35,4,3,3,20*,-,32,109.37,0,0,4,0,2023
98,99,           Wanindu Hasaranga RCB   ,33,8,5,3,12*,16.5,28,117.85,0,0,3,0,2023
99,100,           Abishek Porel DC   ,33,4,4,0,20,8.25,31,106.45,0,0,1,2,2023
100,101,           Kuldeep Yadav DC   ,31,14,10,8,10*,15.5,48,64.58,0,0,2,0,2023
101,102,           Dasun Shanaka GT   ,26,3,3,1,17,13,26,100,0,0,2,1,2023
102,103,           Piyush Chawla MI   ,25,16,4,2,18,12.5,22,113.63,0,0,1,1,2023
103,104,           Tristan Stubbs MI   ,25,2,2,0,20,12.5,31,80.64,0,0,2,0,2023
104,105,           Hrithik Shokeen MI   ,23,8,3,2,18*,23,17,135.29,0,0,4,0,2023
105,106,           Anukul Roy KKR   ,23,4,4,2,13*,11.5,19,121.05,0,0,3,0,2023
106,107,           Adil Rashid SRH   ,22,2,2,0,18,11,16,137.5,0,0,2,1,2023
107,108,           Priyam Garg DC   ,22,2,2,0,12,11,23,95.65,0,0,1,0,2023
108,109,           David Wiese KKR   ,21,3,3,2,12*,21,11,190.9,0,0,0,3,2023
109,110,           Mayank Markande SRH   ,21,10,3,3,18*,-,13,161.53,0,0,2,1,2023
110,111,           Sunil Narine KKR   ,21,14,10,3,7*,3,25,84,0,0,2,1,2023
111,112,           Rishi Dhawan PBKS   ,20,6,3,1,19,10,12,166.66,0,0,1,1,2023
112,113,           Ravi Bishnoi LSG   ,20,15,7,4,5,6.67,27,74.07,0,0,1,0,2023
113,114,           Umran Malik SRH   ,19,8,2,1,19*,19,8,237.5,0,0,1,2,2023
114,115,           Umesh Yadav KKR   ,19,8,5,3,6*,9.5,18,105.55,0,0,1,0,2023
115,116,           Amit Mishra LSG   ,19,7,1,0,19,19,30,63.33,0,0,2,0,2023
116,117,           Arshad Khan MI   ,18,6,3,1,15*,9,15,120,0,0,0,1,2023
117,118,           Akash Deep RCB   ,17,2,1,0,17,17,8,212.5,0,0,2,1,2023
118,119,           Akeal Hosein SRH   ,16,1,1,1,16*,-,10,160,0,0,1,1,2023
119,120,           Trent Boult RR   ,16,10,4,3,15,16,14,114.28,0,0,1,1,2023
120,121,           Praveen Dubey DC   ,16,1,1,0,16,16,20,80,0,0,2,0,2023
121,122,           Naveen-Ul-Haq LSG   ,16,8,3,2,13,16,21,76.19,0,0,2,0,2023
122,123,           Yash Dhull DC   ,16,4,3,0,13,5.33,23,69.56,0,0,1,0,2023
123,124,           Ben Stokes CSK   ,15,2,2,0,8,7.5,14,107.14,0,0,2,0,2023
124,125,           Mandeep Singh KKR   ,14,3,3,0,12,4.67,16,87.5,0,0,0,1,2023
125,126,           Arjun Tendulkar MI   ,13,4,1,0,13,13,9,144.44,0,0,0,1,2023
126,127,           Vyshak Vijaykumar RCB   ,13,7,2,1,13*,13,9,144.44,0,0,0,1,2023
127,128,           Kedar Jadhav RCB   ,12,2,1,1,12*,-,10,120,0,0,1,0,2023
128,129,           Jason Holder RR   ,12,8,3,1,11,6,11,109.09,0,0,0,1,2023
129,130,           Karan Sharma LSG   ,12,2,2,0,9,6,21,57.14,0,0,0,0,2023
130,131,           Mark Wood LSG   ,11,4,2,1,10*,11,5,220,0,0,1,1,2023
131,132,           Sanvir Singh SRH   ,11,2,2,1,7,11,9,122.22,0,0,1,1,2023
132,133,           Manan Vohra LSG   ,10,1,1,0,10,10,11,90.9,0,0,1,0,2023
133,134,           Joe Root RR   ,10,3,1,0,10,10,15,66.66,0,0,1,0,2023
134,135,           Adam Zampa RR   ,10,6,3,0,7,3.33,16,62.5,0,0,0,0,2023
135,136,           Jaydev Unadkat LSG   ,9,3,1,0,9,9,7,128.57,0,0,1,0,2023
136,137,           Noor Ahmad GT   ,8,13,3,1,7*,4,9,88.88,0,0,1,0,2023
137,138,           Mukesh Kumar DC   ,7,10,3,3,6*,-,9,77.77,0,0,0,0,2023
138,139,           Rovman Powell DC   ,7,3,3,0,4,2.33,9,77.77,0,0,1,0,2023
139,140,           Alzarri Joseph GT   ,7,7,2,2,7*,-,12,58.33,0,0,1,0,2023
140,141,           Harshal Patel RCB   ,6,13,2,0,6,3,6,100,0,0,0,1,2023
141,142,           Kumar Kartikeya Singh MI   ,6,8,1,0,6,6,7,85.71,0,0,1,0,2023
142,143,           Jason Behrendorff MI   ,6,12,2,2,3*,-,9,66.66,0,0,0,0,2023
143,144,           Chris Jordan MI   ,6,6,2,0,4,3,12,50,0,0,0,0,2023
144,145,           Mohammad Shami GT   ,5,17,2,0,5,2.5,6,83.33,0,0,1,0,2023
145,146,           Litton Das KKR   ,4,1,1,0,4,4,4,100,0,0,1,0,2023
146,147,           Jofra Archer MI   ,4,5,2,2,3*,-,4,100,0,0,0,0,2023
147,148,           Chetan Sakariya DC   ,4,2,2,1,4,4,6,66.66,0,0,1,0,2023
148,149,           Vaibhav Arora KKR   ,3,5,2,2,2*,-,2,150,0,0,0,0,2023
149,150,           Karn Sharma RCB   ,3,7,2,0,2,1.5,5,60,0,0,0,0,2023
150,151,           Arshdeep Singh PBKS   ,2,14,2,2,2*,-,2,100,0,0,0,0,2023
151,152,           Mitchell Santner CSK   ,2,3,2,2,1*,-,4,50,0,0,0,0,2023
152,153,           Swapnil Singh LSG   ,2,2,1,1,2*,-,4,50,0,0,0,0,2023
153,154,           Wayne Parnell RCB   ,2,7,1,0,2,2,5,40,0,0,0,0,2023
154,155,           Sandeep Sharma RR   ,2,12,2,2,2*,-,6,33.33,0,0,0,0,2023
155,156,           Mustafizur Rahman DC   ,1,2,1,1,1*,-,1,100,0,0,0,0,2023
156,157,           Ishant Sharma DC   ,1,8,1,1,1*,-,1,100,0,0,0,0,2023
157,158,           Abdul Basith RR   ,1,1,1,1,1*,-,1,100,0,0,0,0,2023
158,159,           Deepak Chahar CSK   ,1,10,1,1,1*,-,2,50,0,0,0,0,2023
159,160,           Mohit Rathee PBKS   ,1,1,1,1,1*,-,2,50,0,0,0,0,2023
160,161,           Josh Hazlewood RCB   ,1,3,1,1,1*,-,2,50,0,0,0,0,2023
161,162,           Mohammed Siraj RCB   ,1,14,2,1,1*,1,2,50,0,0,0,0,2023
162,163,           Yudhvir Singh LSG   ,1,3,2,0,1,0.5,2,50,0,0,0,0,2023
163,164,           Fazalhaq Farooqi SRH   ,1,4,1,1,1*,-,5,20,0,0,0,0,2023
164,165,           Nathan Ellis PBKS   ,1,10,2,0,1,0.5,7,14.28,0,0,0,0,2023
165,166,           Varun Chakaravarthy KKR   ,1,14,2,1,1,1,9,11.11,0,0,0,0,2023
